Ballpark:,West Virginia Black Bears,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,False,Scorecard Key,https://docs.google.com/spreadsheets/d/1A45eSmpgfacqwwbnESAVGr41ToqdO4q-DhuNSHkFYMI/edit?gid=1148472416#gid=1148472416,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109
West Virginia Black Bears Batters,Hand,AVG,OBP,SLG,K%,DP%,DMG,Order,Pos,,,,,,,,Big Sky Snow Geese Batters,Hand,AVG,OBP,SLG,K%,DP%,DMG,Order,Pos,,,,,,,Name,hand,SO vlhp,SO v rhp,BB v lhp,BB v rhp,HIT v lhp,HIT v rhp,OB v lhp,OB v rhp,TB v lhp,TB v rhp,HR v lhp,HR v rhp,BPHR v lhp,BPHR v rhp,BP1B v lhp,BP1B v rhp,DP v lhp,DP v rhp,STEALING,STL,B,H,h-helper,,,HITS,BP1B,BPHR,All H,OB,All OB,TB,All TB,K,DP,,,,Name,hand,SO vlhp,SO v rhp,BB v lhp,BB v rhp,HIT v lhp,HIT v rhp,OB v lhp,OB v rhp,TB v lhp,TB v rhp,HR v lhp,HR v rhp,BPHR v lhp,BPHR v rhp,BP1B v lhp,BP1B v rhp,DP v lhp,DP v rhp,STEALING,STL,B,H,h-helper,,,HITS,BP1B,BPHR,All H,OB,All OB,TB,All TB,K,DP
Andy Pages,R,0.1423076923,0.2192307692,0.2379807692,0.3605769231,0.08653846154,0.4176451553,,,,,,,,,,Bobby Witt Jr,R,0.2980769231,0.3317307692,0.5730769231,0.2211538462,0.03846153846,0.980954142,,,,,,,,,Mark Vientos,R,42,38,4,10,29.8,18.5,35.8,30.5,53.8,39.6,4.3,6.2,6,8,5,5,13,9,-/- (---),E,D,D,R,,,25.5,3.5,2,31,47.5,78.5,52.7,64.2,84,12,,,,Sal Frelick,L,10,8,9,6,21.5,25.9,32.5,33.9,37.7,33,2.3,0.5,-3,-3,5,5,11,12,"*4,5/- (19-12)",A,C,C,L,,,32.9,2.5,-1.05,34.35,49,83.35,41.5,39.8,45,20
Ben Rice,L,0.09951923076923076,0.18798076923076923,0.2598557692307692,0.33653846153846156,0.0625,0.4198467548,,,,,,,,,,Colton Cowser,L,0.14278846153846156,0.23173076923076924,0.25576923076923075,0.36538461538461536,0.08653846153846154,0.4453125,,,,,,,,,Ildemaro Vargas,S,0,0,1,7,25.4,17.5,28.4,26.5,37,24.4,0,1.5,-3,-3,5,5,25,23,*3-6/- (16-12),B,C,B,L,,,27.9,2.5,-0.35,30.05,46,76.05,47.4,48.5,32,28,,,,Michael Busch,L,29,38,10,15,24.1,17.4,36.1,34.4,41.9,32.1,2,3.3,-3,6,5,5,12,11,4/- (13-6),E,D,C,L,,,24.4,2.5,2.1,29,49.5,78.5,40.6,51.5,75,19
Cedric Mullins,L,0.16129807692307693,0.24375000000000002,0.31875,0.24519230769230768,0.02403846153846154,0.5489783654,4,CF,,,,,,,,Connor Wong,R,0.25240384615384615,0.2548076923076923,0.4115384615384615,0.3173076923076923,0.09134615384615384,0.7179675943,,,,,,,,,Yordan Alvarez,L,15,6,5,11,42.9,24,51.9,39,67.7,47.2,4,6,8,8,5,5,20,17,2/- (20-6),C,C,C,L,,,34.4,2.5,3.5,40.4,58.5,98.9,70.2,86.7,38,22,,,,Junior Caminero,R,7,24,0,4,41.4,19.5,42.4,24.5,51.7,36,0,3.2,-3,5,5,5,8,7,3/- (20-6),D,D,C,R,,,41.8,3.5,1.75,47.05,47.8,94.85,79.6,90.1,61,14
Ildemaro Vargas,S,0.14447115384615383,0.22115384615384615,0.23317307692307693,0.15384615384615385,0.1346153846153846,0.3931675296,,,,,,,,,,Hunter Goodman,R,0.16009615384615383,0.16009615384615383,0.36610576923076926,0.3317307692307692,0.125,0.53046875,,,,,,,,,Teoscar Hernandez,R,35,38,5,10,27,23.3,35,36.3,52.5,39.5,6,3.8,8,5,5,5,6,7,*6/- (18-6),B,D,C,R,,,30.3,3.5,1.25,35.05,53.3,88.35,52.6,61.1,84,10,,,,Leo Rivas,S,48,30,18,15,9.7,21.6,30.7,39.6,9.7,28.7,0,0,-3,-3,5,5,8,8,*5/- (20-11),B,B,D,L,,,28.6,2.5,-1.05,30.05,54.7,84.75,37.2,35.5,67,16
JJ Bleday,L,0.17235576923076923,0.26778846153846153,0.33557692307692305,0.22596153846153846,0.0625,0.5656550481,,,,,,,,,,Jordan Westburg,R,0.2605769230769231,0.25817307692307695,0.49951923076923077,0.25961538461538464,0.07211538461538461,0.8261741864,,,,,,,,,Trea Turner,R,13,15,8,1,30.5,32,40.5,35,50,42.6,4,2.4,6,4,5,5,15,16,"*4,6/- (19-12)",A,D,C,R,,,39,3.5,1,43.5,52,95.5,55.7,63.2,61,19,,,,Jordan Westburg,R,38,17,9,1,14.3,26.4,26.3,30.4,32.5,48.8,3.6,3.2,8,6,5,5,6,8,*4-6/- (15-11),C,D,C,R,,,48.7,3.5,2,54.2,53.7,107.9,92.4,103.9,54,15
Jorge Polanco,S,0.12379807692307693,0.22067307692307692,0.2557692307692308,0.375,0.125,0.4168870192,6,LF,,,,,,,,Junior Caminero,R,0.22620192307692305,0.2298076923076923,0.4331730769230769,0.2932692307692308,0.0673076923076923,0.7204823872,,,,,,,,,JJ Bleday,L,29,15,5,14,16.5,21.2,22.5,36.2,43.8,37.3,5.4,1.5,8,3,0,5,10,8,5/10 (13-4),E,D,B,L,,,31.6,2.5,1.75,35.85,55.7,91.55,60.3,69.8,47,13,,,,Bobby Witt Jr,R,3,9,0,9,34.3,33.7,37.3,45.7,52,62.1,1.8,4.4,2,8,5,5,1,1,*2-6/- (17-13),A,D,C,R,,,56,3.5,2.5,62,69,131,105.7,119.2,46,8
Josh Naylor,L,0.16442307692307695,0.23221153846153844,0.3485576923076923,0.20192307692307693,0.1201923076923077,0.5236547707,9,2B,,,,,,,,Leo Rivas,S,0.14447115384615386,0.26298076923076924,0.17067307692307693,0.32211538461538464,0.07692307692307693,0.400295858,,,,,,,,,Josh Naylor,L,16,10,10,8,15,17.8,28,28.8,33.2,33,3,4.3,4,8,5,5,20,20,6/- (15-6),C,D,B,L,,,28.200000000000003,2.5,3.5,34.2,48.3,82.5,56,72.5,42,25,,,,Riley Greene,L,38,32,4,17,15,23,21,42,37.2,40,3.2,3.4,6,5,0,5,0,0,6/- (13-6),D,D,C,L,,,30,2.5,1.75,34.25,57.1,91.35,48.5,58,69,8
JT Realmuto,R,0.1701923076923077,0.23509615384615384,0.2730769230769231,0.3605769230769231,0.07692307692307693,0.4877218935,8,1B,,,,,,,,Matt Wallner,L,0.14350961538461537,0.2793269230769231,0.30096153846153845,0.39903846153846156,0.04326923076923077,0.5551798262,,,,,,,,,Cedric Mullins,L,16,19,0,11,14,18.2,16,31.2,25.5,31,2.2,3.2,-3,5,5,5,0,0,"*2-5,11,12/- (19-15)",AA,B,B,L,,,28.6,2.5,2.45,33.55,50.7,84.25,54,66.3,51,5,,,,Matt Wallner,L,62,46,7,11,7.8,17.9,28.9,43,11.9,41.8,1.4,4.4,2,7,5,5,0,1,3/- (20-6),C,D,D,L,,,24.9,2.5,2.45,29.85,58.1,87.95,50.3,62.6,83,9
Mark Vientos,R,0.14903846153846154,0.2283653846153846,0.30865384615384617,0.40384615384615385,0.057692307692307696,0.5060373521,7,C,,,,,,,,Michael Busch,L,0.13942307692307693,0.23798076923076922,0.24759615384615385,0.3605769230769231,0.09134615384615384,0.4412213388,,,,,,,,,Andy Pages,R,25,29,5,7,32,18.6,40,28.6,45.7,30.9,1.8,2.3,2,2,5,5,15,15,7/8 (13-3),E,D,D,R,,,25.6,3.5,0.5,29.6,45.6,75.2,44,49.5,75,18,,,,Nico Hoerner,R,0,0,2,8,39,24.5,45,36.4,52.3,38.2,3.2,2.1,-3,-3,5,5,9,8,"*5,6/- (19-13)",A,D,C,R,,,46.8,3.5,-0.25,50.05,59.7,109.75,81.80000000000001,84.3,37,15
Mickey Moniak,L,0.15552884615384616,0.1980769230769231,0.3,0.3125,0.038461538461538464,0.5127819896,5,3B,,,,,,,,Miguel Andujar,R,0.25408653846153845,0.2528846153846154,0.4100961538461539,0.20192307692307693,0.15384615384615385,0.6694988905,,,,,,,,,JT Realmuto,R,27,29,7,5,29.1,23.9,39.1,31.9,39.2,36.2,2.3,2.3,3,4,5,5,10,13,7/11 (13-5),D,D,D,R,,,30.9,3.5,1,35.4,48.9,84.3,49.300000000000004,56.8,75,16,,,,Colton Cowser,L,48,39,5,12,16.9,18.1,24.8,33.1,27.9,33.8,2.5,3.3,4,6,5,5,11,10,"*4,6/- (16-6)",C,D,D,L,,,25.1,2.5,2.1,29.7,48.2,77.9,42.3,53.2,76,18
Teoscar Hernandez,R,0.16850961538461537,0.25625,0.29375,0.40384615384615385,0.04807692307692308,0.5235576923,,,,,,,,,,Nico Hoerner,R,0.24062499999999998,0.2870192307692308,0.4052884615384616,0.1778846153846154,0.07211538461538461,0.7109692816,,,,,,,,,Mickey Moniak,L,48,33,0,2,10.2,17.7,12.2,21.7,16.9,29.9,2.3,2.3,3,3,5,5,4,3,"*2-6,11,12/- (15-12)",B,D,D,L,,,28.1,2.5,1.75,32.35,41.2,73.55,52.9,62.4,65,8,,,,Connor Wong,R,19,29,12,0,29.5,25.7,45.5,29.7,43.5,34.5,2.3,1.2,3,2,5,5,10,12,*2-7/9 (15-8),C,C,D,R,,,48,3.5,1,52.5,53,105.5,78.1,85.6,66,19
Trea Turner,R,0.2091346153846154,0.25,0.3038461538461539,0.2932692307692308,0.09134615384615384,0.5611374353,3,RF,,,,,,,,Riley Greene,L,0.16466346153846154,0.2745192307692308,0.27884615384615385,0.3317307692307692,0.038461538461538464,0.5320821006,,,,,,,,,Jorge Polanco,S,22,46,1,14,23.5,10.4,26.5,26.4,29.9,17.9,1.8,2.5,3,5,5,5,28,21,"4,5/- (13-6)",D,C,D,L,,,20.8,2.5,2.45,25.75,45.9,71.65,40.9,53.2,78,26,,,,Miguel Andujar,R,0,5,9,0,45.1,27.3,56.1,29.3,53.9,39.2,0.2,2.5,0,-3,5,5,22,25,7/12 (13-6),D,D,C,R,,,49.6,3.5,-0.25,52.85,52.6,105.45,82.80000000000001,85.3,42,32
Yordan Alvarez,L,0.19423076923076923,0.28125,0.4168269230769231,0.18269230769230768,0.10576923076923077,0.6332701553,1,SS,,,,,,,,Sal Frelick,L,0.16514423076923077,0.23557692307692307,0.19134615384615383,0.21634615384615385,0.09615384615384616,0.3968449519,,,,,,,,,Ben Rice,L,28,38,26,12,1.8,6.6,28.8,19.6,7,20,1.8,3.4,1,5,0,0,5,8,"2-6,11,12/- (3-1)",E,D,D,L,,,17,1.25,2.45,20.7,39.1,59.8,43,54.05,70,13,,,,Hunter Goodman,R,43,32,0,0,12.1,7,15.1,10,35.3,21.8,6,4.2,8,7,0,0,19,19,2-5/10 (13-6),E,D,D,R,,,29.3,1.75,2.25,33.3,33.3,66.6,65.4,76.15,69,26
,,,,,,,,2,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,DH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8,CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,7,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
