player id,name,sWAR,image,image2,team id,team abbrev,pos 1,pos 2,pos 3,pos 4,pos 5,pos 6,pos 7,pos 8,last game,last game 2,il return,dem week,vanity card,strat code,bbref id,injury rating,DRAFT TEAM,Unnamed: 24,BOARD TEAM,Unnamed: 26,id,abbrev,sname,lname,manager_legacy,division_legacy,gmid,gmid2,manager1,manager2,division,mascot,stadium,gsheet,thumbnail,color,dice_color,season,auto_draft,salary_cap
12502,Adam Mazur,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adam-mazur.png,,547,FA,SP,,,,,,,,,,,-2,,"Mazur,A",mazurad01,1p20,,,,,575.0,WAI,Whale Sharks,Waikiki Whale Sharks,,,1.399263086448476e+17,2.917387703137075e+17,Paulie,Derek,45.0,,https://i.postimg.cc/ZR05SFMP/WAI_Weather.png,,https://i.postimg.cc/XYykZKTH/1-1.png,f68aa4,f68aa4,13.0,,29.5
12503,Adam Oller,0.43,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adam-oller.png,,547,FA,SP,,,,,,,,,,,-2,,"Oller,A",ollerad01,1p30,,,,,578.0,CAN,Cavalry,Canterbury Cavalry,,,1.0187215101118385e+18,,Sandyman,,43.0,,https://i.postimg.cc/0Qrysd4P/CAN_Weather.png,,https://i.postimg.cc/C1bS8JTZ/Cav-Logo.png,dbb143,DBB143,13.0,,33.5
12504,Adam Ottavino,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adam-ottavino.png,,547,FA,RP,CP,,,,,,,,,,-2,,"Ottavino,A",ottavad01,1p50,,,,,581.0,MDW,Death Worms,Mongolian Death Worms,,,3.7782627800449024e+17,2.6856655974668698e+17,Smitty,JP,44.0,,https://i.postimg.cc/QtVd3kyY/MDW_Weather.png,,https://i.postimg.cc/MHWBNwzH/MDW-Primary-Logo.png,23c8b9,,13.0,,33.5
12505,Addison Barger,0.31,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/addison-barger.png,,547,FA,3B,RF,LF,,,,,,,,,-2,,"Barger,A",bargead01,1p40,,,,,584.0,NSH,Wizards,Nashville Wizards,,,4.852170454081208e+17,,Reed,,42.0,,https://i.postimg.cc/mDhgsNnR/NSH_Weather.png,,https://i.postimg.cc/mDPB77Pb/wizards-full.png,006900,006900,13.0,,29.5
12506,Adley Rutschman,1.55,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adley-rutschman.png,,550,WVMiL,C,,,,,,,,,,,-2,,"Rutschman,A",rutscad01,1p70,,,,,587.0,CHC,Cyclones,Chicago Cyclones,,,3.8344490334407885e+17,1.5976633883387494e+17,Jack,Diego,45.0,,https://i.postimg.cc/XvsYmDQk/CHC_Weather.png,,https://i.postimg.cc/L8044JJC/chc.png,ff5349,,13.0,,31.5
12507,Adolis Garcia,0.08,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adolis-garcia.png,,547,FA,RF,,,,,,,,,,,-2,,"Garcia,Adolis",garciad02,1p70,,,,,590.0,CYP,Templar Knights,Cyprus Templar Knights,,,4.738452225148846e+17,,Plack,,45.0,,https://i.postimg.cc/cH6LSMb2/CYP_Weather.png,,https://i.postimg.cc/cJgxvdYs/D72-C13-F4-DEDC-4184-A903-0-B962085-BE91-removebg-preview.png,0C4940,,13.0,,31.5
12508,Adrian Del Castillo,1.67,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adrian-del-castillo.png,,578,CAN,C,,,,,,,,,,,-2,,"Del Castillo,A",delcaad01,2p20,,,,,593.0,CLS,Hydra,Columbus Hydra,,,6.671358684773745e+17,1.055123272934482e+17,Mason,Guido,42.0,,https://i.postimg.cc/263SDFK2/CLS_Weather.png,,https://i.postimg.cc/3wGF3tvR/Hydras.png,07CED1,,13.0,,33.5
12509,Adrian Houser,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adrian-houser.png,,547,FA,SP,RP,CP,,,,,,,,,-2,,"Houser,A",housead01,1p40,,,,,,,,,,,,,,,,,,,,,,,,
12510,Adrian Morejon,0.59,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adrian-morejon.png,,595,CLSMiL,RP,CP,,,,,,,,,,-2,,"Morejon,A",morejad01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12511,AJ Minter,1.54,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aj-minter.png,,547,FA,RP,CP,,,,,,,,,,-2,,"Minter,A",minteaj01,5p30,,,,,,,,,,,,,,,,,,,,,,,,
12512,AJ Puk,1.41,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aj-puk.png,,584,NSH,SP,RP,CP,,,,,,,,,-2,,"Puk,A",pukaj01,1p40,,,,,,,,,,,,,,,,,,,,,,,,
12513,Akil Baddoo,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/akil-baddoo.png,,547,FA,LF,RF,CF,,,,,,,,,-2,,"Baddoo,A",baddoak01,1p20,,,,,,,,,,,,,,,,,,,,,,,,
12514,Alan Trejo,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alan-trejo.png,,547,FA,2B,3B,SS,,,,,,,,,-2,,"Trejo,A",trejoal01,1p20,,,,,,,,,,,,,,,,,,,,,,,,
12515,Albert Suarez,0.71,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/albert-suarez.png,,547,FA,SP,RP,,,,,,,,,,-2,,"Suarez,A",suareal01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12516,Alec Bohm,1.44,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alec-bohm.png,,578,CAN,3B,1B,,,,,,,,,,-2,,"Bohm,A",bohmal01,1p65,,,,,,,,,,,,,,,,,,,,,,,,
12517,Alec Burleson,0.58,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alec-burleson.png,,563,GME,RF,LF,1B,,,,,,,,,-2,,"Burleson,A",burleal01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12518,Alec Marsh,0.31,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alec-marsh.png,,547,FA,SP,,,,,,,,,,,-2,,"Marsh,A",marshal01,1p65,,,,,,,,,,,,,,,,,,,,,,,,
12519,Alejandro Kirk,1.5,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alejandro-kirk.png,,565,GMEMiL,C,,,,,,,,,,,-2,,"Kirk,A",kirkal01,2p50,,,,,,,,,,,,,,,,,,,,,,,,
12520,Alek Thomas,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alek-thomas.png,,547,FA,CF,,,,,,,,,,,-2,,"Thomas,A",thomaal01,6p20,,,,,,,,,,,,,,,,,,,,,,,,
12521,Alex Bregman,1.88,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-bregman.png,,581,MDW,3B,,,,,,,,,,,-2,,"Bregman,A",bregmal01,1p65,,,,,,,,,,,,,,,,,,,,,,,,
12522,Alex Call,3.85,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-call.png,,579,CANIL,RF,CF,LF,,,,,,,,w06g1,-2,,"Call,A",callal02,3p20,,,,,,,,,,,,,,,,,,,,,,,,
12523,Alex Faedo,0.3,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-faedo.png,,547,FA,SP,RP,,,,,,,,,,-2,,"Faedo,A",faedoal01,5p50,,,,,,,,,,,,,,,,,,,,,,,,
12524,Alex Jackson,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-jackson.png,,547,FA,C,,,,,,,,,,,-2,,"Jackson,A",jacksal02,2p30,,,,,,,,,,,,,,,,,,,,,,,,
12525,Alex Kirilloff,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-kirilloff.png,,547,FA,LF,1B,RF,,,,,,,,,-2,,"Kirilloff,A",kirilal01,5p30,,,,,,,,,,,,,,,,,,,,,,,,
12526,Alex Verdugo,0.22,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-verdugo.png,,547,FA,LF,RF,CF,,,,,,,,,-2,,"Verdugo,A",verdual01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12527,Alex Vesia,1.16,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-vesia.png,,575,WAI,RP,CP,,,,,,,,,,-2,,"Vesia,A",vesiaal01,1p60,,,,,,,,,,,,,,,,,,,,,,,,
12528,Alex Wood,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alex-wood.png,,547,FA,SP,,,,,,,,,,,-2,,"Wood,A",woodal02,6p30,,,,,,,,,,,,,,,,,,,,,,,,
12529,Alexis Diaz,0.43,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alexis-diaz.png,,572,BSG,RP,CP,,,,,,,,,,-2,,"Diaz,Alexis",diazal03,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12530,Ali Sanchez,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ali-sanchez.png,,547,FA,C,,,,,,,,,,,-2,,"Sanchez,A",sanchal04,2p20,,,,,,,,,,,,,,,,,,,,,,,,
12531,Alika Williams,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/alika-williams.png,,575,WAI,2B,SS,,,,,,,,,,-2,,"Williams,A",willial04,2p20,,,,,,,,,,,,,,,,,,,,,,,,
12532,Amed Rosario,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/amed-rosario.png,,554,THE,2B,RF,3B,SS,,,,,,,,-2,,"Rosario,A",rosaram01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12533,Andre Pallante,0.99,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andre-pallante.png,,567,MKEIL,SP,RP,,,,,,,,,w06g3,-2,,"Pallante,A",pallaan01,1p60,,,,,,,,,,,,,,,,,,,,,,,,
12534,Andres Chaparro,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andres-chaparro.png,,576,WAIIL,1B,,,,,,,,,,w07g3,-2,,"Chaparro,A",chapaan01,1p20,,,,,,,,,,,,,,,,,,,,,,,,
12535,Andres Gimenez,1.83,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andres-gimenez.png,,547,FA,2B,,,,,,,,,,,-2,,"Gimenez,A",gimenan01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12536,Andres Munoz,1.62,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andres-munoz.png,,569,POR,RP,CP,,,,,,,,,,-2,,"Munoz,A",munozan01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12537,Andrew Abbott,1.79,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-abbott.png,,591,CYPIL,SP,,,,,,,,,,w07g2,-2,,"Abbott,A",abbotan01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12538,Andrew Benintendi,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-benintendi.png,,547,FA,LF,,,,,,,,,,,-2,,"Benintendi,A",beninan01,1p60,,,,,,,,,,,,,,,,,,,,,,,,
12539,Andrew Chafin,0.26,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-chafin.png,,547,FA,RP,CP,,,,,,,,,,-2,,"Chafin,A",chafian01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12540,Andrew Heaney,0.23,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-heaney.png,,547,FA,SP,,,,,,,,,,,-2,,"Heaney,A",heanean01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12541,Andrew Kittredge,0.61,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-kittredge.png,,547,FA,RP,CP,,,,,,,,,,-2,,"Kittredge,A",kittran01,0p72,,,,,,,,,,,,,,,,,,,,,,,,
12542,Andrew Knizner,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-knizner.png,,547,FA,C,,,,,,,,,,,-2,,"Knizner,A",kniznan01,2p20,,,,,,,,,,,,,,,,,,,,,,,,
12543,Andrew McCutchen,0.45,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-mccutchen.png,,547,FA,RF,,,,,,,,,,,-2,,"McCutchen,A",mccutan01,1p60,,,,,,,,,,,,,,,,,,,,,,,,
12544,Andrew Nardi,0.19,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-nardi.png,,547,FA,RP,,,,,,,,,,,-2,,"Nardi,A",nardian01,3p40,,,,,,,,,,,,,,,,,,,,,,,,
12545,Andrew Vaughn,0.09,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andrew-vaughn.png,,547,FA,1B,,,,,,,,,,,-2,,"Vaughn,A",vaughan01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12546,Andruw Monasterio,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andruw-monasterio.png,,547,FA,3B,2B,1B,LF,,,,,,,,-2,,"Monasterio,A",monasan01,1p30,,,,,,,,,,,,,,,,,,,,,,,,
12547,Andy Ibanez,1.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andy-ibanez.png,,547,FA,2B,1B,3B,SS,LF,,,,,,,-2,,"Ibanez,A",ibanean01,2p50,,,,,,,,,,,,,,,,,,,,,,,,
12548,Andy Pages,0.85,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/andy-pages.png,,548,WV,CF,RF,LF,,,,,,,,,-2,,"Pages,A",pagesan01,1p60,,,,,,,,,,,,,,,,,,,,,,,,
12549,Angel Chivilli,0.18,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/angel-chivilli.png,,547,FA,RP,CP,,,,,,,,,,-2,,"Chivilli,A",chivian01,1p30,,,,,,,,,,,,,,,,,,,,,,,,
12550,Angel Martinez,0.1,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/angel-martinez.png,,547,FA,CF,LF,3B,RF,2B,,,,,,,-2,,"Martinez,A",martian02,5p20,,,,,,,,,,,,,,,,,,,,,,,,
12551,Angel Zerpa,0.32,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/angel-zerpa.png,,547,FA,RP,,,,,,,,,,,-2,,"Zerpa,A",zerpaan01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12552,Anthony Banda,0.48,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-banda.png,,554,THE,SP,RP,CP,,,,,,,,,-2,,"Banda,A",bandaan01,2p40,,,,,,,,,,,,,,,,,,,,,,,,
12553,Anthony Bender,0.49,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-bender.png,,548,WV,RP,CP,,,,,,,,,,-2,,"Bender,A",bendean01,2p50,,,,,,,,,,,,,,,,,,,,,,,,
12554,Anthony Molina,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-molina.png,,547,FA,RP,,,,,,,,,,,-2,,"Molina,A",molinan01,1p40,,,,,,,,,,,,,,,,,,,,,,,,
12555,Anthony Rendon,0.44,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-rendon.png,,547,FA,3B,,,,,,,,,,,-2,,"Rendon,A",rendoan01,5p30,,,,,,,,,,,,,,,,,,,,,,,,
12556,Anthony Rizzo,0.15,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-rizzo.png,,547,FA,1B,,,,,,,,,,,-2,,"Rizzo,A",rizzoan01,4p50,,,,,,,,,,,,,,,,,,,,,,,,
12557,Anthony Santander,1.26,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-santander.png,,587,CHC,RF,1B,,,,,,,,,,-2,,"Santander,A",santaan02,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12558,Anthony Volpe,1.43,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/anthony-volpe.png,,586,NSHMiL,SS,,,,,,,,,,,-2,,"Volpe,A",volpean01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12559,Aroldis Chapman,0.31,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/aroldis-chapman.png,,563,GME,RP,CP,,,,,,,,,,-2,,"Chapman,A",chapmar01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12560,Austin Adams,0.35,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-adams.png,,547,FA,RP,,,,,,,,,,,-2,,"Adams,A",adamsau02,4p40,,,,,,,,,,,,,,,,,,,,,,,,
12561,Austin Barnes,0.78,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-barnes.png,,595,CLSMiL,C,2B,,,,,,,,,,-2,https://i.postimg.cc/JhhQngyh/Barnes-FC.png,"Barnes,A",barneau01,3p30,,,,,,,,,,,,,,,,,,,,,,,,
12562,Austin Gomber,0.69,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-gomber.png,,547,FA,SP,,,,,,,,,,,-2,,"Gomber,A",gombeau01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12563,Austin Hays,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-hays.png,,581,MDW,LF,RF,,,,,,,,,w07g2,-2,,"Hays,A",haysau01,4p40,,,,,,,,,,,,,,,,,,,,,,,,
12564,Austin Hedges,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-hedges.png,,547,FA,C,,,,,,,,,,,-2,,"Hedges,A",hedgeau01,2p30,,,,,,,,,,,,,,,,,,,,,,,,
12565,Austin Martin,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-martin.png,,578,CAN,CF,LF,2B,,,,,,,,,-2,,"Martin,A",martiau01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12566,Austin Riley,1.79,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-riley.png,,575,WAI,3B,,,,,,,,,,,-2,,"Riley,A",rileyau01,3p50,,,,,,,,,,,,,,,,,,,,,,,,
12567,Austin Slater,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-slater.png,,578,CAN,RF,LF,CF,,,,,,,,,-2,,"Slater,A",slateau01,2p40,,,,,,,,,,,,,,,,,,,,,,,,
12568,Austin Voth,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-voth.png,,569,POR,RP,,,,,,,,,,,-2,,"Voth,A",vothau01,1p50,,,,,,,,,,,,,,,,,,,,,,,,
12569,Austin Wells,1.05,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/austin-wells.png,,574,BSGMiL,C,,,,,,,,,,,-2,,"Wells,A",wellsau01,2p60,,,,,,,,,,,,,,,,,,,,,,,,
12570,Bailey Falter,0.54,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/bailey-falter.png,,547,FA,SP,,,,,,,,,,,-2,,"Falter,B",falteba01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12571,Bailey Ober,1.46,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/bailey-ober.png,,554,THE,SP,,,,,,,,,,,-2,,"Ober,B",oberba01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12572,Beau Brieske,0.5,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/beau-brieske.png,,571,PORMiL,SP,RP,CP,,,,,,,,,-2,,"Brieske,B",briesbe01,1p60,,,,,,,,,,,,,,,,,,,,,,,,
12573,Ben Brown,1.22,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-brown.png,,548,WV,SP,RP,,,,,,,,,w07g2,-2,,"Brown,B",brownbe02,5p30,,,,,,,,,,,,,,,,,,,,,,,,
12574,Ben Gamel,0.59,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-gamel.png,,579,CANIL,RF,LF,,,,,,,,,w09g3,-2,,"Gamel,B",HALP,2p20,,,,,,,,,,,,,,,,,,,,,,,,
12575,Ben Joyce,2.35,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-joyce.png,,593,CLS,RP,CP,,,,,,,,,,-2,https://i.postimg.cc/RF6Q1HLW/Joyce-FC.png,"Joyce,B",joycebe01,2p30,,,,,,,,,,,,,,,,,,,,,,,,
12576,Ben Lively,0.75,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-lively.png,,547,FA,SP,,,,,,,,,,,-2,,"Lively,B",livelbe01,1p70,,,,,,,,,,,,,,,,,,,,,,,,
12577,Ben Rice,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-rice.png,,548,WV,1B,C,,,,,,,,,,-2,,"Rice,B",ricebe01,1p30,,,,,,,,,,,,,,,,,,,,,,,,
12578,Ben Rortvedt,0.8,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ben-rortvedt.png,,547,FA,C,,,,,,,,,,,-2,,"Rortvedt,B",rortvbe01,2p50,,,,,,,,,,,,,,,,,,,,,,,,
12579,Blake Perkins,1.2,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/blake-perkins.png,,584,NSH,CF,,,,,,,,,,,-2,,"Perkins,B",perkibl01,1p60,,,,,,,,,,,,,,,,,,,,,,,,
12580,Blake Snell,1.51,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/blake-snell.png,,584,NSH,SP,,,,,,,,,,,-2,,"Snell,B",snellbl01,3p60,,,,,,,,,,,,,,,,,,,,,,,,
12581,Blake Treinen,1.44,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/blake-treinen.png,,560,DAL,RP,CP,,,,,,,,,,-2,,"Treinen,B",treinbl01,4p40,,,,,,,,,,,,,,,,,,,,,,,,
12582,Blaze Alexander,0.0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/blaze-alexander.png,,575,WAI,SS,2B,3B,,,,,,,,,-2,,"Alexander,B",alexabl01,1p30,,,,,,,,,,,,,,,,,,,,,,,,
12583,Bligh Madris,0.46,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/bligh-madris.png,,547,FA,1B,RF,,,,,,,,,,-2,,"Madris,B",madribl01,1p20,,,,,,,,,,,,,,,,,,,,,,,,
