Players,Name,sWAR,Card,Card 2,IL Return,Dem Wk,Vanity,Injury,Destination,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Destination.1,Name.1,playerID,Name.2,sWAR.1,Card.1,Card 2.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,IL Return.1,Dem Wk.1,Vanity.1,Unnamed: 38,Unnamed: 39,Injury.1
12961,JJ Bleday,0.95,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jj-bleday.png,,,-2,,1p70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12967,Joe Mantiply,0.48,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/joe-mantiply.png,,,-2,,0p72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12983,John Schreiber,0.46,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/john-schreiber.png,,,-2,,2p40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13007,Jorge Polanco,0.48,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jorge-polanco.png,,,-2,,2p60,,,Week 10 Overall Moves: https://discord.com/channels/613880856032968834/613968699472347167/1409369181144748112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13036,Josh Naylor,0.69,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/josh-naylor.png,,,-2,,1p70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13046,JT Realmuto,2.11,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jt-realmuto.png,,,-2,,4p50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13158,Mark Vientos,1.98,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/mark-vientos.png,,,-2,,1p50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13205,Mickey Moniak,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/mickey-moniak.png,,,-2,,1p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13290,Porter Hodge,1.45,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/porter-hodge.png,,,-2,,1p40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13331,Ryan Fernandez,0.72,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ryan-fernandez.png,,,-2,,1p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13409,Teoscar Hernandez,1.91,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/teoscar-hernandez.png,,,-2,,1p70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13429,Trea Turner,1.61,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/trea-turner.png,,,-2,,1p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13483,Will Vest,1.02,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/will-vest.png,,,-2,,1p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13506,Yordan Alvarez,2.47,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/yordan-alvarez.png,,,-2,,1p65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13507,Yoshinobu Yamamoto,1.42,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/yoshinobu-yamamoto.png,,,-2,,3p50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13513,Zac Gallen,1.37,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/zac-gallen.png,,,-2,,1p70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minors,Name,sWAR,Card,Card 2,IL Return,Dem Week,Vanity,Injury,Destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12506,Adley Rutschman,1.55,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/adley-rutschman.png,,,-2,,1p70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13026,Jose Soriano,1.39,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jose-soriano.png,,,-2,,3p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13322,Ronald Acuna Jr,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ronald-acuna-jr.png,,,-2,,5p30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13341,Ryan Thompson,0.72,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ryan-thompson.png,,,-2,,1p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13470,Victor Vodnik,0.78,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/victor-vodnik.png,,,-2,,1p40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured List,Name,sWAR,Card,Card 2,IL Return,Dem Week,Vanity,Injury,Destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765,Donovan Solano,0.94,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/donovan-solano.png,,w06g4,-2,,1p50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13396,Taj Bradley,1.04,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/taj-bradley.png,,w07g2,-2,,1p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
