Majors,Name,sWAR,Card,Card 2,Last 1,Last 2,IL Return,Dem Wk,Vanity,Injury,Hand,C,1B,2B,3B,SS,LF,CF,RF,vL,vR,OVR,P,SP,RP,CP,vL.1,vR.1,OVR.1,Defense / Endurance,Unnamed: 31,Left Field,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Center Field,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Right Field,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,False,Draft Mode
13026,Jose Soriano,1.39,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/jose-soriano.png,,,,,-2,,3p60,,,,,,,,,,,,,,,,,,,,S(5) R(3),,Ben Brown,R,10,35,S(5) R(4),,,,,False,Porter Hodge,R,33,35,R(1) C(4),,,
13322,Ronald Acuna Jr,0,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ronald-acuna-jr.png,,,,,-2,,5p30,,,,,,,,,,,,,,,,,,,,rf-3(-4)e7,,Yoshinobu Yamamoto,R,42,6,S(5),,,,,False,Will Vest,R,29,21,R(1) C(1),,,
13341,Ryan Thompson,0.72,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/ryan-thompson.png,,,,,-2,,1p60,,,,,,,,,,,,,,,,,,,,R(1) C(1),,Jared Jones,R,9,7,S(5),,,,,False,Joe Mantiply,L,35,10,S(1) R(1) C(0),,,
13470,Victor Vodnik,0.78,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/victor-vodnik.png,,,,,-2,,1p40,,,,,,,,,,,,,,,,,,,,R(2) C(3),,Griffin Canning,R,-22,-9,S(5),,,,,False,Dennis Santana,R,22,20,R(2) C(2),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ryan Fernandez,R,25,12,R(1) C(1),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Ben Brown,R,10,35,S(5) R(4),,,
IL,Name,sWAR,Card,Card 2,Last 1,Last 2,IL Return,Dem Week,Vanity,Injury,Hand,C,1B,2B,3B,SS,LF,CF,RF,P,SP,RP,CP,Defense / Endurance,,,,,,Defense / Endurance,,,,,,,,,,,False,John Schreiber,R,10,24,R(1) C(1),,,
12765,Donovan Solano,0.94,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/donovan-solano.png,,,,w06g4,-2,,1p50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Anthony Bender,R,-7,46,R(1) C(0),,,
13396,Taj Bradley,1.04,https://sba-cards-2024.s3.us-east-1.amazonaws.com/2024-cards/taj-bradley.png,,,,w07g2,-2,,1p60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
